"target_piece","loc_removed","remove_value","file_removed","rank_removed"
"R","a1",668,1,1
"R","a1",634,1,1
"R","a1",618,1,1
"R","a1",664,1,1
"R","a1",652,1,1
"R","a1",660,1,1
"R","a1",640,1,1
"R","a1",637,1,1
"R","a1",685,1,1
"R","a1",715,1,1
"R","a1",719,1,1
"R","a1",723,1,1
"R","a1",708,1,1
"R","a1",724,1,1
"R","a1",722,1,1
"R","a1",684,1,1
"R","a1",638,1,1
"R","a1",752,1,1
"R","a1",696,1,1
"R","a1",674,1,1
"R","a1",651,1,1
"R","a1",668,1,1
"R","a1",685,1,1
"R","a1",645,1,1
"R","a1",669,1,1
"R","a1",592,1,1
"R","a1",633,1,1
"R","a1",650,1,1
"R","a1",682,1,1
"R","a1",614,1,1
"R","a1",707,1,1
"R","a1",599,1,1
"R","a1",631,1,1
"R","a1",593,1,1
"R","a1",733,1,1
"R","a1",633,1,1
"R","a1",684,1,1
"R","a1",601,1,1
"R","a1",649,1,1
"R","a1",616,1,1
"R","a1",654,1,1
"R","a1",593,1,1
"R","a1",676,1,1
"R","a1",628,1,1
"R","a1",640,1,1
"R","a1",570,1,1
"R","a1",630,1,1
"R","a1",605,1,1
"R","a1",683,1,1
"R","a1",682,1,1
"R","a1",607,1,1
"R","a1",626,1,1
"R","a1",622,1,1
"R","a1",519,1,1
"R","a1",611,1,1
"R","a1",671,1,1
"R","a1",719,1,1
"R","a1",638,1,1
"R","a1",653,1,1
"R","a1",738,1,1
"R","a1",704,1,1
"R","a1",696,1,1
"R","a1",733,1,1
"R","a1",733,1,1
"R","a1",565,1,1
"R","a1",719,1,1
"R","a1",910,1,1
"R","b1",757,2,1
"R","b1",770,2,1
"R","b1",800,2,1
"R","b1",868,2,1
"R","b1",892,2,1
"R","b1",986,2,1
"R","b1",852,2,1
"R","b1",889,2,1
"R","b1",788,2,1
"R","b1",806,2,1
"R","b1",623,2,1
"R","b1",1000,2,1
"R","b1",970,2,1
"R","b1",480,2,1
"R","f1",608,6,1
"R","f1",434,6,1
"R","f1",434,6,1
"R","f1",454,6,1
"R","f1",454,6,1
"R","a1",641,1,1
"R","a1",700,1,1
"R","a1",637,1,1
"R","a1",655,1,1
"R","a1",663,1,1
"R","a1",658,1,1
"R","a1",659,1,1
"R","a1",679,1,1
"R","a1",647,1,1
"R","a1",708,1,1
"R","a1",690,1,1
"R","a1",697,1,1
"R","a1",676,1,1
"R","a1",682,1,1
"R","a1",645,1,1
"R","a1",674,1,1
"R","a1",639,1,1
"R","a1",697,1,1
"R","a1",654,1,1
"R","a1",804,1,1
"R","a1",691,1,1
"R","a1",686,1,1
"R","a1",708,1,1
"R","a1",657,1,1
"R","a1",674,1,1
"R","a1",730,1,1
"R","a1",723,1,1
"R","a1",718,1,1
"R","a1",730,1,1
"R","a1",701,1,1
"R","a1",632,1,1
"R","a1",676,1,1
"R","a1",616,1,1
"R","a1",696,1,1
"R","a1",649,1,1
"R","a1",677,1,1
"R","a1",695,1,1
"R","a1",623,1,1
"R","a1",655,1,1
"R","a1",678,1,1
"R","a1",685,1,1
"R","a1",799,1,1
"R","a1",693,1,1
"R","a1",712,1,1
"R","d4",715,4,4
"R","d4",722,4,4
"R","d4",724,4,4
"R","d4",808,4,4
"R","d4",772,4,4
"R","d4",686,4,4
"R","d4",726,4,4
"R","d4",762,4,4
"R","d4",736,4,4
"R","d4",903,4,4
"R","d4",785,4,4
"R","d4",840,4,4
"R","d4",711,4,4
"R","d4",749,4,4
"R","d4",766,4,4
"R","d4",847,4,4
"R","d4",733,4,4
"R","d4",745,4,4
"R","d4",756,4,4
"R","d4",867,4,4
"R","b1",844,2,1
"R","b1",866,2,1
"R","b1",739,2,1
"R","b1",989,2,1
"R","b1",973,2,1
"R","b1",1124,2,1
"R","a1",1006,1,1
"R","a1",1530,1,1
"R","a1",1099,1,1
"R","a1",855,1,1
"R","a1",1032,1,1
"R","a1",1222,1,1
"R","a1",973,1,1
"R","a1",462,1,1
"R","a1",553,1,1
"R","a1",520,1,1
"R","a1",633,1,1
"R","a1",668,1,1
"R","a1",660,1,1
"R","a1",693,1,1
"R","a1",678,1,1
"R","a1",663,1,1
"R","a1",641,1,1
"R","a1",612,1,1
"R","a1",701,1,1
"R","a1",689,1,1
"R","a1",660,1,1
"R","a1",642,1,1
"R","a1",653,1,1
"R","a1",657,1,1
"R","a1",676,1,1
"R","a1",653,1,1
"R","a1",706,1,1
"R","a1",730,1,1
"R","a1",715,1,1
"R","a1",705,1,1
"R","a1",694,1,1
"R","a1",790,1,1
"R","a1",687,1,1
"R","d1",654,4,1
"R","d1",723,4,1
"R","d1",708,4,1
"R","d1",745,4,1
"R","g1",638,7,1
"R","g1",670,7,1
"R","g1",731,7,1
"R","g1",678,7,1
"R","g1",695,7,1
"R","g1",723,7,1
"R","g1",747,7,1
"R","g1",746,7,1
"R","g1",699,7,1
"R","g1",708,7,1
"R","g1",743,7,1
"R","g1",700,7,1
"R","g1",686,7,1
"R","g1",654,7,1
"R","g1",514,7,1
"R","g1",753,7,1
"R","g1",730,7,1
"R","g1",730,7,1
"R","g1",784,7,1
"R","g1",752,7,1
"R","d4",747,4,4
"R","d4",813,4,4
"R","d4",912,4,4
"R","d4",759,4,4
"R","d4",755,4,4
"R","d4",768,4,4
"R","d4",714,4,4
"R","d4",757,4,4
"R","d3",670,4,3
"R","d3",690,4,3
"R","d3",740,4,3
"R","d3",746,4,3
