STN,DESCRIPTION,LATITUDE,LONGITUDE
C1,Cooks Bay 1 eupho composite,44.21194440,-79.51305560
C6,Cooks Bay 6 eupho composite,44.24305560,-79.51222220
C9,Cooks Bay 9 eupho composite,44.29388890,-79.50055560
E50,E50 eupho composite,44.40833330,-79.23750000
E51,E51 eupho composite,44.49527780,-79.27750000
H3,Holland River 3 eupho composite,44.16361110,-79.51833330
H4,Holland River 4 eupho composite,44.16361110,-79.51583330
H6,Holland River 6 eupho composite,44.19833330,-79.52000000
K38,Kempenfelt Bay 38 eupho composite,44.38085500,-79.67830000
K39,Kempenfelt Bay 39 eupho composite,44.38250000,-79.65444440
K42,Kempenfelt Bay 42 eupho composite,44.39916670,-79.57055560
K45,Kempenfelt Bay 45 eupho composite,44.44305560,-79.44472220
N31,N31 eupho composite,44.54962700,-79.38821000
N32,N32 eupho composite,44.57805560,-79.40138890
S15,S15 eupho composite,44.36444440,-79.38777780
