STATION,SAMPLE DATE,YEAR,TEST NAME,TEST CODE,TEST VALUE,UNIT,REMARK
K39,30-Apr-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,1.1,ug/L,
K39,30-Apr-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,1.5,ug/L,
K39,30-Apr-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.4,ug/L,
K42,30-Apr-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,1.2,ug/L,
K42,30-Apr-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,1.5,ug/L,
K42,30-Apr-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.4,ug/L,
K45,30-Apr-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,1,ug/L,
K45,30-Apr-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,1.2,ug/L,
K45,30-Apr-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.4,ug/L,
C1,01-May-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,3.8,ug/L,
C1,01-May-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,4.3,ug/L,
C1,01-May-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,4.3,ug/L,
C1,01-May-1980,1980,CHLORIDE,CLIDUR,5.1,mg/L,
C6,01-May-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,6.2,ug/L,
C6,01-May-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,7.2,ug/L,
C6,01-May-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.2,ug/L,
C9,01-May-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,3.8,ug/L,
C9,01-May-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,4.2,ug/L,
C9,01-May-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.3,ug/L,
N31,01-May-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,1.6,ug/L,
N31,01-May-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,1.8,ug/L,
N31,01-May-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.5,ug/L,
E50,20-May-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,2.3,ug/L,
E50,20-May-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,3.1,ug/L,
E50,20-May-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.2,ug/L,
E50,20-May-1980,1980,CONDUCTIVITY,COND25,325,uS/cm,
E50,20-May-1980,1980,IRON,FEUT,30,ug/L,
E50,20-May-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,6,ug/L,
E50,20-May-1980,1980,NITROGEN; NITRITE,NNO2UR,3,ug/L,
E50,20-May-1980,1980,NITROGEN; NITRATE,NNO3FR,7,ug/L,
E50,20-May-1980,1980,NITROGEN; TOTAL KJELDAHL,NNTKUR,370,ug/L,
E50,20-May-1980,1980,PHOSPHORUS; PHOSPHATE,PPO4FR,0.001,mg/L,
E50,20-May-1980,1980,PHOSPHORUS; TOTAL,PPUT,13,ug/L,
E50,20-May-1980,1980,SILICON; REACTIVE SILICATE,SIO3UR,0.6,mg/L,
E51,20-May-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,1.5,ug/L,
E51,20-May-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,2.9,ug/L,
E51,20-May-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.4,ug/L,
E51,20-May-1980,1980,CONDUCTIVITY,COND25,330,uS/cm,
E51,20-May-1980,1980,IRON,FEUT,30,ug/L,
E51,20-May-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,2,ug/L,
E51,20-May-1980,1980,NITROGEN; NITRITE,NNO2UR,3,ug/L,
E51,20-May-1980,1980,NITROGEN; NITRATE,NNO3FR,5,ug/L,<
E51,20-May-1980,1980,NITROGEN; TOTAL KJELDAHL,NNTKUR,390,ug/L,
E51,20-May-1980,1980,PHOSPHORUS; TOTAL,PPUT,12,ug/L,
E51,20-May-1980,1980,SILICON; REACTIVE SILICATE,SIO3UR,0.6,mg/L,
K39,20-May-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,2.6,ug/L,
K39,20-May-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,2.7,ug/L,
K39,20-May-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.3,ug/L,
K39,20-May-1980,1980,CONDUCTIVITY,COND25,340,uS/cm,
K39,20-May-1980,1980,IRON,FEUT,30,ug/L,
K39,20-May-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,24,ug/L,
K39,20-May-1980,1980,NITROGEN; NITRITE,NNO2UR,3,ug/L,
K39,20-May-1980,1980,NITROGEN; NITRATE,NNO3FR,37,ug/L,
K39,20-May-1980,1980,NITROGEN; TOTAL KJELDAHL,NNTKUR,370,ug/L,
K39,20-May-1980,1980,PHOSPHORUS; PHOSPHATE,PPO4FR,0.011,mg/L,
K39,20-May-1980,1980,PHOSPHORUS; TOTAL,PPUT,26,ug/L,
K39,20-May-1980,1980,SILICON; REACTIVE SILICATE,SIO3UR,0.5,mg/L,
K42,20-May-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,1.3,ug/L,
K42,20-May-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,2.5,ug/L,
K42,20-May-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.3,ug/L,
K42,20-May-1980,1980,CONDUCTIVITY,COND25,335,uS/cm,
K42,20-May-1980,1980,IRON,FEUT,10,ug/L,
K42,20-May-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,8,ug/L,
K42,20-May-1980,1980,NITROGEN; NITRITE,NNO2UR,3,ug/L,
K42,20-May-1980,1980,NITROGEN; NITRATE,NNO3FR,22,ug/L,
K42,20-May-1980,1980,NITROGEN; TOTAL KJELDAHL,NNTKUR,400,ug/L,
K42,20-May-1980,1980,PHOSPHORUS; PHOSPHATE,PPO4FR,0.002,mg/L,
K42,20-May-1980,1980,PHOSPHORUS; TOTAL,PPUT,20,ug/L,
K42,20-May-1980,1980,SILICON; REACTIVE SILICATE,SIO3UR,0.65,mg/L,
K45,20-May-1980,1980,CHLOROPHYLL - A; CORRECTED,CHLRAC,1.5,ug/L,
K45,20-May-1980,1980,CHLOROPHYLL - A; TOTAL,CHLRAT,2.8,ug/L,
K45,20-May-1980,1980,CHLOROPHYLL - B; TOTAL,CHLRBT,0.3,ug/L,
K45,20-May-1980,1980,CONDUCTIVITY,COND25,325,uS/cm,
K45,20-May-1980,1980,IRON,FEUT,30,ug/L,
K45,20-May-1980,1980,NITROGEN; AMMONIA+AMMONIUM,NNHTUR,10,ug/L,
K45,20-May-1980,1980,NITROGEN; NITRITE,NNO2UR,3,ug/L,
