"TimeStamp","Delta_TP9","Delta_AF7","Delta_AF8","Delta_TP10","Theta_TP9","Theta_AF7","Theta_AF8","Theta_TP10","Alpha_TP9","Alpha_AF7","Alpha_AF8","Alpha_TP10","Beta_TP9","Beta_AF7","Beta_AF8","Beta_TP10","Gamma_TP9","Gamma_AF7","Gamma_AF8","Gamma_TP10","RAW_TP9","RAW_AF7","RAW_AF8","RAW_TP10","AUX_RIGHT","Accelerometer_X","Accelerometer_Y","Accelerometer_Z","Gyro_X","Gyro_Y","Gyro_Z","HeadBandOn","HSI_TP9","HSI_AF7","HSI_AF8","HSI_TP10","Battery","Elements","time_in","total_alpha","total_beta","total_gamma","total_delta","total_theta"
"2024-02-12 21:43:06.723",0.9557364,0.1033505,0,0.9462491,1.0741687,-0.21842855,0,0.70308465,1.0760401,0.2663165,0,1.2812629,0.8972723,0.17336172,0,0.932396,0.44092622,-0.18075383,0,0.78385186,487.54578,834.4689,262.71063,325.56778,252.63736,0.28863525390625,-0.1370849609375,0.94427490234375,5.54779052734375,-3.02810668945312,0.3887939453125,1,1,1,2,1,70,"",0,2.6236195,2.00303002,1.04402425,2.005336,1.5588248
"2024-02-12 21:43:07.727",0.9557364,-0.0681522,0,0.24024372,1.0741687,0.024417058,0,0.03021507,1.0760401,0.2896061,0,0.51971096,0.8972723,0.18858016,0,0.72840273,0.44092622,-0.12183767,0,0.7908623,506.0806,850.989,811.0989,799.81683,646.7033,0.2344970703125,-0.09039306640625,0.91278076171875,-0.560760498046875,5.45806884765625,-0.246734619140625,1,1,1,2,1,70,"",1,1.88535716,1.81425519,1.10995085,1.12782792,1.128800828
"2024-02-12 21:43:08.734",0.9557364,-0.053392716,0,1.0761185,1.0741687,0.09023037,0,1.0067436,1.0760401,0.26822296,0,0.8636308,0.8972723,0.29889035,0,0.7983057,0.44092622,-0.22820613,0,0.5318465,342.08792,827.619,465.78754,787.326,817.9487,0.2513427734375,-0.22161865234375,0.9442138671875,2.13836669921875,-6.22817993164062,10.4450988769531,1,1,1,2,1,70,"",2,2.20789386,1.99446835,0.74456659,1.978462184,2.17114267
"2024-02-12 21:43:09.746",0.9557364,0.17065547,0,0.9377748,1.0741687,-0.059799526,0,0.8842266,1.0760401,0.46683478,0,0.9993193,0.8972723,0.3356489,0,0.97248125,0.44092622,-0.27698073,0,0.75931543,393.26007,838.9011,536.7033,806.26373,717.2161,0.3541259765625,-0.27947998046875,0.954833984375,9.51797485351562,-14.4078063964844,2.82623291015625,1,1,1,2,1,65,"",3,2.54219418,2.20540245,0.92326092,2.06416667,1.898595774
"2024-02-12 21:43:10.753",0.9557364,0.28410468,0,0.88665885,1.0741687,-0.095278926,0,0.6658904,1.0760401,0.41552484,0,0.9962287,0.8972723,0.3493681,0,1.2157216,0.44092622,-0.39320305,0,0.8896431,561.28204,852.1978,830.84247,855.0183,834.0659,0.306640625,-0.04541015625,0.9703369140625,11.484375,-11.3497924804688,4.71786499023438,1,1,1,2,1,65,"",4,2.48779364,2.462362,0.93736627,2.12649993,1.644780174
"2024-02-12 21:43:11.757",0.9557364,0.34836304,0,0.88665885,1.0741687,0.21151055,0,0.6658904,1.0760401,0.3272811,0,0.9962287,0.8972723,0.27037868,0,1.2157216,0.44092622,-0.20178229,0,0.8896431,505.27472,827.619,382.38095,829.2308,1014.57874,0.3685302734375,-0.06195068359375,0.91461181640625,-5.77957153320312,-2.25051879882812,-1.86920166015625,1,1,1,2,1,65,"",5,2.3995499,2.38337258,1.12878703,2.19075829,1.95156965
"2024-02-12 21:43:12.773",0.9557364,0.8754948,0,0.88665885,1.0741687,0.6141509,0,0.6658904,1.0760401,0.31434768,0,0.9962287,0.8972723,0.28276762,0,1.2157216,0.44092622,-0.24315655,0,0.8896431,890.87915,826.0073,764.7619,811.50183,696.6667,0.23443603515625,-0.05712890625,0.97186279296875,0.216827392578125,5.39077758789062,-1.7645263671875,1,2,1,2,2,65,"",6,2.38661648,2.39576152,1.08741277,2.71789005,2.35421
"2024-02-12 21:43:13.779",0.9557364,1.1252038,0,0.88665885,1.0741687,0.77000403,0,0.6658904,1.0760401,0.7054701,0,0.9962287,0.8972723,0.17471482,0,1.2157216,0.44092622,-0.16104043,0,0.8896431,1024.249,834.0659,798.60803,816.7399,699.0842,0.0250244140625,-0.012939453125,0.991455078125,8.62075805664062,-5.01693725585938,-1.54022216796875,1,2,1,2,2,65,"",7,2.7777389,2.28770872,1.16952889,2.96759905,2.51006313
"2024-02-12 21:43:14.798",1.3388776,0.71339345,0,0.8919682,1.0789074,0.5191538,0,0.7475973,1.2905357,0.7054701,0,0.8445116,0.94541645,0.21529365,0,0.4825035,0.42547226,-0.102669336,0,-0.1366946,1009.34064,842.1245,761.13556,812.71063,749.0476,0.1171875,-0.01422119140625,0.98944091796875,5.51040649414062,-8.23944091796875,0.142059326171875,1,1,1,2,1,65,"",8,2.8405174,1.6432136,0.186108324,2.94423925,2.3456585
"2024-02-12 21:43:15.818",1.4102196,0.80428886,0,1.0064447,1.2137688,0.6264814,0,0.68498296,1.2093589,0.6716976,0,0.71540487,0.9018625,0.25609377,0,0.5067814,0.41633478,-0.38204634,0,-0.19536187,996.04395,830.4396,750.65936,828.022,758.71796,0.0885009765625,-0.02728271484375,0.992919921875,2.19818115234375,-1.60003662109375,-6.57958984375,1,1,1,2,1,65,"",9,2.59646137,1.66473767,-0.16107343,3.22095316,2.52523316
"2024-02-12 21:43:16.820",1.2384008,0.78920877,0,0.7377043,1.0684943,0.6575698,0,0.47587612,1.2059151,0.676438,0,0.37961537,0.8186132,0.16973947,0,0.41976577,0.5920699,-0.2769826,0,0.17679366,840.10986,836.4835,669.67035,809.89014,538.315,0.0682373046875,-0.0137939453125,1.01202392578125,4.7552490234375,-14.8040771484375,2.6617431640625,1,1,1,2,1,65,"",10,2.26196847,1.40811844,0.49188096,2.76531387,2.20194022
"2024-02-12 21:43:17.842",1.0600516,0.7396521,0,0.8285838,0.7030411,0.40927684,0,0.5533407,1.052353,0.29899347,0,0.5914354,0.8555661,0.1999261,0,0.43807188,0.6372797,-0.32191437,0,0.13087067,898.1319,847.3626,777.25275,808.2784,860.2564,0.253173828125,-0.0203857421875,0.9793701171875,4.04495239257812,-2.50473022460938,-0.291595458984375,1,1,1,2,1,65,"",11,1.94278187,1.49356408,0.446236,2.6282875,1.66565864
"2024-02-12 21:43:18.851",1.2965964,0.4309762,0,0.82208514,0.9595667,0.25572696,0,0.58561534,1.2628672,0.2288893,0,0.730083,0.842524,0.19284779,0,0.46961874,0.55805033,-0.27504334,0,-0.021073554,715.6044,845.34796,615.2747,808.68134,855.42126,-0.03594970703125,-0.01959228515625,0.9559326171875,9.091796875,8.1646728515625,-1.68228149414062,1,1,1,2,1,65,"",12,2.2218395,1.50499053,0.261933436,2.54965774,1.800909
"2024-02-12 21:43:19.856",1.4829512,0.99604344,0,0.7043474,1.1128392,0.2471513,0,0.7063038,0.9218591,0.51732296,0,0.8532422,0.7895904,0.1855455,0,0.7012786,0.5536809,-0.24445613,0,0.20252362,583.8461,838.0952,536.7033,780.87915,731.31866,0.20318603515625,0.00128173828125,0.98590087890625,2.85614013671875,-17.9443359375,2.75146484375,1,1,1,2,1,65,"",13,2.29242426,1.6764145,0.51174839,3.18334204,2.0662943
"2024-02-12 21:43:20.866",1.4829512,0.79003733,0,0.7085823,1.1128392,0.9172397,0,0.4104804,0.9218591,0.68514824,0,0.7058445,0.7895904,0.24613243,0,0.70801795,0.5536809,-0.38371608,0,0.2589304,69.30403,838.9011,574.57874,435.16483,213.95604,0.420654296875,0.0009765625,0.93719482421875,7.14035034179688,-20.4042053222656,-4.2767333984375,1,1,1,2,1,65,"",14,2.31285184,1.74374078,0.42889522,2.98157083,2.4405593
"2024-02-12 21:43:21.890",1.4829512,0.7606971,0,0.66864604,1.1128392,0.91655207,0,0.23095948,0.9218591,0.67725044,0,0.59321827,0.7895904,0.34277955,0,0.65291685,0.5536809,-0.49397904,0,0.2870786,143.84616,818.3516,613.2601,709.9634,663.22345,0.5233154296875,0.07379150390625,0.86798095703125,5.57769775390625,-0.695343017578125,-1.02432250976562,1,4,1,2,1,65,"",15,2.19232781,1.7852868,0.34678046,2.91229434,2.26035075
"2024-02-12 21:43:22.904",1.4829512,0.24212961,0,0.66864604,1.1128392,0.37201032,0,0.23095948,0.9218591,0.27911058,0,0.59321827,0.7895904,0.25715467,0,0.65291685,0.5536809,-0.5091998,0,0.2870786,0,830.4396,523.8095,418.24176,363.44324,0.430419921875,0.07025146484375,0.9078369140625,4.42626953125,-2.46734619140625,-1.26358032226562,1,4,1,2,2,65,"",16,1.79418795,1.69966192,0.3315597,2.39372685,1.715809
"2024-02-12 21:43:23.924",1.4829512,0.50737643,0,0.66864604,1.1128392,0.40816292,0,0.23095948,0.9218591,0.5236396,0,0.59321827,0.7895904,0.20869648,0,0.65291685,0.5536809,-0.34824476,0,0.2870786,216.37363,826.0073,641.8681,0,728.0952,0.4613037109375,0.0203857421875,0.91448974609375,10.0563049316406,-11.962890625,19.7013854980469,1,4,1,2,2,65,"",17,2.03871697,1.65120373,0.49251474,2.65897367,1.7519616
"2024-02-12 21:43:24.934",1.4829512,0.34771216,0,0.66864604,1.1128392,0.2761082,0,0.23095948,0.9218591,0.24408105,0,0.59321827,0.7895904,0.102278404,0,0.65291685,0.5536809,-0.31360352,0,0.2870786,39.084248,976.30035,879.59705,539.5238,745.82416,0.469482421875,-0.02239990234375,0.86077880859375,6.160888671875,-4.4561767578125,-2.87857055664062,1,4,1,2,4,65,"",18,1.75915842,1.544785654,0.52715598,2.4993094,1.61990688
"2024-02-12 21:43:25.947",1.4829512,0.24934122,0,0.66864604,1.1128392,0.053663883,0,0.23095948,0.9218591,-0.040445134,0,0.59321827,0.7895904,-0.087382466,0,0.65291685,0.5536809,-0.2373096,0,0.2870786,866.30035,780.07324,523.4066,941.6484,852.6007,0.42974853515625,-0.03424072265625,0.90045166015625,3.6785888671875,-5.8319091796875,0.485992431640625,1,4,1,2,2,65,"",19,1.474632236,1.355124784,0.6034499,2.40093846,1.397462563
"2024-02-12 21:43:26.949",1.4829512,0.24934122,0,0.66864604,1.1128392,0.053663883,0,0.23095948,0.9218591,-0.040445134,0,0.59321827,0.7895904,-0.087382466,0,0.65291685,0.5536809,-0.2373096,0,0.2870786,33.040295,898.1319,1619.7803,1399.7803,861.8681,0.47943115234375,-0.0565185546875,0.87347412109375,-2.70660400390625,-1.89910888671875,2.64678955078125,1,4,1,2,2,65,"",20,1.474632236,1.355124784,0.6034499,2.40093846,1.397462563
"2024-02-12 21:43:27.964",1.4829512,0.24934122,0,0.66864604,1.1128392,0.053663883,0,0.23095948,0.9218591,-0.040445134,0,0.59321827,0.7895904,-0.087382466,0,0.65291685,0.5536809,-0.2373096,0,0.2870786,1107.2528,787.326,233.2967,1012.96704,992.8205,0.443359375,-0.0709228515625,0.8857421875,4.68048095703125,1.87667846679688,2.80380249023438,1,4,1,2,2,65,"",21,1.474632236,1.355124784,0.6034499,2.40093846,1.397462563
"2024-02-12 21:43:28.967",1.4829512,0.24934122,0,0.66864604,1.1128392,0.053663883,0,0.23095948,0.9218591,-0.040445134,0,0.59321827,0.7895904,-0.087382466,0,0.65291685,0.5536809,-0.2373096,0,0.2870786,93.47985,821.978,295.348,1165.2748,911.8315,0.47503662109375,-0.0892333984375,0.8759765625,4.5159912109375,-6.160888671875,-2.28790283203125,1,4,1,2,2,65,"",22,1.474632236,1.355124784,0.6034499,2.40093846,1.397462563
"2024-02-12 21:43:29.970",1.4829512,0.76285976,0,0.66864604,1.1128392,0.13475117,0,0.23095948,0.9218591,0.10633631,0,0.59321827,0.7895904,0.057892524,0,0.65291685,0.5536809,-0.14496997,0,0.2870786,74.54212,822.381,936.4103,1177.7656,847.3626,0.47900390625,-0.09051513671875,0.8701171875,4.7552490234375,-3.409423828125,-0.82244873046875,1,4,1,2,2,65,"",23,1.62141368,1.500399774,0.69578953,2.914457,1.47854985
"2024-02-12 21:43:30.980",1.4829512,0.38089782,0,0.8827366,1.1128392,-0.034740698,0,0.731079,0.9218591,0.21009907,0,0.96020615,0.7895904,0.122939736,0,0.8459669,0.5536809,-0.26424012,0,0.7366277,1575.0549,813.5165,610.84247,1139.8901,967.4359,0.47296142578125,-0.0947265625,0.8758544921875,4.31411743164062,-2.4822998046875,-1.14395141601562,1,4,1,2,1,70,"",24,2.09216432,1.758497036,1.02606848,2.74658562,1.809177502
"2024-02-12 21:43:31.988",1.4829512,0.07798557,0,0.6661712,1.1128392,0.03656678,0,0.63659424,0.9218591,0.058056004,0,1.0090549,0.7895904,0.03818082,0,0.8536921,0.5536809,-0.37915295,0,0.79013497,96.7033,807.0696,731.31866,1167.6923,727.6923,0.45513916015625,-0.09600830078125,0.86907958984375,6.46743774414062,-4.844970703125,-0.22430419921875,1,4,1,2,1,70,"",25,1.988970004,1.68146332,0.96466292,2.22710797,1.78600022
"2024-02-12 21:43:32.993",1.4829512,0.4604167,0,0.50186354,1.1128392,0.08766478,0,0.19024278,0.9218591,0.59491736,0,1.1559185,0.7895904,-0.012598332,0,1.1058775,0.5536809,-0.3401172,0,0.78590775,1093.1501,826.8132,805.4579,929.15753,648.71796,0.46435546875,-0.11199951171875,0.87762451171875,4.58328247070312,-3.63372802734375,-0.85235595703125,1,4,1,2,1,70,"",26,2.67269496,1.882869568,0.99947145,2.44523144,1.39074676
"2024-02-12 21:43:34.000",1.4829512,0.4313125,0,0.6133761,1.1128392,0.05017792,0,0.46542856,0.9218591,0.59323764,0,1.0656184,0.7895904,0.15720636,0,0.9055936,0.5536809,-0.33069777,0,0.7341506,1355.8608,815.12823,589.4872,1016.99634,759.12085,0.4666748046875,-0.113037109375,0.87774658203125,4.59075927734375,-4.11972045898438,-0.844879150390625,1,4,1,2,1,70,"",28,2.58071514,1.85239036,0.95713373,2.5276398,1.62844568
